provider_id,hospital_name,address1,city,state,zip_code,county_name,phone_number,ed2,ed1,left_before_being_seen,op18,door_to_diagnostic_eval,median_time_to_pain_med,head_ct_results,address0,latitude,longitude
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,69,258,4,190,61,99,Not Available,"Southeast Alabama Medical Center, 1108 Ross Clark Circle, Dothan, AL 36301, USA",31.2167252,-85.3630676
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,65,240,3,128,34,69,39,"Marshall Medical Center South: Gary Alan Calhoun, MD, 2505 U.S. 431, Boaz, AL 35957, USA",34.2217298,-86.1600637
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,60,220,2,131,21,64,46,"Eliza Coffee Memorial Hospital Heliport, South Marengo Street, Florence, AL 35631, USA",34.7937966,-87.6832735
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,55,199,2,102,32,68,Not Available,"Mizell Memorial Hospital, 702 North Main Street, Opp, AL 36467, USA",31.2920498,-86.2543819
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,50,174,0,99,31,52,Not Available,"Hospital Drive, Luverne, AL 36049, USA",31.6942681,-86.2639751
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,81,265,3,160,56,80,0,"St. Vincent's East, 50 Medical Park Drive East, Birmingham, AL 35235, USA",33.59614639999999,-86.6675029
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,95,219,1,112,16,54,79,"DeKalb, IL, USA",41.9294736,-88.75036469999999
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,104,302,2,164,39,71,Not Available,"Shelby Baptist Medical Center, 1000 1st Street North, Alabaster, AL 35007, USA",33.2528592,-86.8129333
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,36,200,1,85,45,Not Available,Not Available,"Callahan Eye Foundation Hospital: Rubin Samuel E MD, University of Alabama at Birmingham, 1720 University Boulevard, Birmingham, AL 35233, USA",33.503775,-86.802506
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,2563864556,66,202,3,118,25,58,68,"1300 South Montgomery Avenue, Sheffield, AL 35660, USA",34.7464826,-87.6989296
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,53,174,2,84,23,48,Not Available,"Dale Medical Center, 126 Hospital Avenue, Ozark, AL 36360, USA",31.4516917,-85.6316033
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,2569275531,69,204,1,81,12,52,Not Available,"Cherokee Medical Center, 400 Northwood Drive, Centre, AL 35960, USA",34.1615289,-85.6508729
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,287,527,6,240,52,79,Not Available,"Baptist Medical Center South: Tweedie Eric L MD, 2105 East South Boulevard, Montgomery, AL 36116, USA",32.3270205,-86.27102719999999
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,146,317,5,190,80,86,Not Available,"1725 Pine Street, Montgomery, AL 36106, USA",32.3665616,-86.28572059999999
10025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,CHAMBERS,3347561400,78,259,1,109,21,63,Not Available,"Valley, AL 36854, USA",32.7381769,-85.1686743
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,48,237,3,170,51,75,Not Available,"2000 Pepperell Parkway, Opelika, AL 36801, USA",32.6381079,-85.4041233
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,78,217,4,95,21,64,Not Available,"Wedowee Hospital, South Main Street, Wedowee, AL 36278, USA",33.306773,-85.48470040000001
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,182,375,5,204,46,81,Not Available,"University of Alabama Birmingham, University of Alabama at Birmingham, 619 19th Street South, Birmingham, AL 35233, USA",33.5045838,-86.8056573
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,63,233,2,99,34,60,Not Available,"805 Friendship Road, Tallassee, AL 36078, USA",32.534053,-85.912363
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,90,242,1,125,28,69,71,"Cullman Regional Medical Center, 1912 Alabama 157, Cullman, AL 35058, USA",34.2000534,-86.80634200000001
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,3342228466,41,183,2,112,30,65,Not Available,"East 3 Notch Street, Andalusia, AL 36420, USA",31.3112124,-86.46766799999999
