provider_id,hospital_name,address1,city,state,zip_code,county_name,phone_number,ed2,ed1,left_before_being_seen,op18,door_to_diagnostic_eval,median_time_to_pain_med,head_ct_results,address0,latitude,longitude
50380,GOOD SAMARITAN HOSPITAL,2425 SAMARITAN DRIVE,SAN JOSE,CA,95124,SANTA CLARA,4085592011,206,315,1,154,10,57,Not Available,"Good Samaritan Hospital, 2425 Samaritan Drive, San Jose, CA 95124, USA",37.2519461,-121.9464612
160122,FORT MADISON COMMUNITY HOSPITAL,5445 AVE O,FORT MADISON,IA,52627,LEE,3193726530,30,165,2,90,31,49,Not Available,"Fort Madison Community Hospital, 5445 Avenue O, Fort Madison, IA 52627, USA",40.6243167,-91.3825949
161302,IOWA SPECIALTY HOSPITAL-CLARION,1316 SOUTH MAIN STREET,CLARION,IA,50525,WRIGHT,5155322811,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"1316 South Main Street, Clarion, IA 50525, USA",42.7206805,-93.73279869999999
280030,ALEGENT CREIGHTON HLTH CREIGHTON UNIVERSITY MED CE,601 NORTH 30TH ST,OMAHA,NE,68131,DOUGLAS,4024494000,166,259,1,109,17,38,Not Available,"601 North 30th Street, Creighton University, Omaha, NE 68131, USA",41.265089,-95.9549399
280032,MARY LANNING HEALTHCARE,715 N ST JOSEPH AVE,HASTINGS,NE,68901,ADAMS,4024634521,58,157,0,85,17,31,Not Available,"Mary Lanning Healthcare, 715 North Saint Joseph Avenue, Hastings, NE 68901, USA",40.5905861,-98.3872446
280040,THE NEBRASKA METHODIST HOSPITAL,8303 DODGE ST,OMAHA,NE,68114,DOUGLAS,4023544000,76,206,0,202,20,58,Not Available,"Nebraska Methodist Hospital, 8303 Dodge Street, Omaha, NE 68114, USA",41.2579731,-96.04165139999999
280060,ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER,7500 MERCY RD,OMAHA,NE,68124,DOUGLAS,4023986060,75,199,1,122,49,74,Not Available,"Bergan Mercy Medical Center, 7500 Mercy Road, Omaha, NE 68124, USA",41.238931,-96.03134299999999
280061,REGIONAL WEST MEDICAL CENTER,4021 AVE B,SCOTTSBLUFF,NE,69361,SCOTTS BLUFF,3086353711,87,231,1,150,23,40,Not Available,"Regional West Medical Center, 4021 Avenue B, Scottsbluff, NE 69361, USA",41.886909,-103.6632769
280065,GREAT PLAINS REGIONAL MEDICAL CENTER,601 WEST LEOTA ST,NORTH PLATTE,NE,69101,LINCOLN,3086968000,80,226,0,118,17,40,Not Available,"Great Plains Regional Medical Center, 601 West Leota Street, North Platte, NE 69101, USA",41.121749,-100.7702317
280077,FREMONT AREA MEDICAL CENTER,450 EAST 23RD ST,FREMONT,NE,68025,DODGE,4027211610,34,192,0,77,2,32,46,"450 East 23rd Street, Fremont, NE 68025, USA",41.4515239,-96.4918423
280081,ALEGENT HEALTH IMMANUEL MEDICAL CENTER,6901 NORTH 72ND ST,OMAHA,NE,68122,DOUGLAS,4025722121,105,242,2,131,55,59,Not Available,"Alegent Creighton Clinic Immanuel Rehabilitation Center, 6901 North 72nd Street, Omaha, NE 68122, USA",41.3218162,-96.0213261
280105,ALEGENT HEALTH MIDLANDS HOSPITAL,11111 SOUTH 84TH ST,PAPILLION,NE,68046,SARPY,4025933000,84,208,0,122,44,50,75,"Alegent Health Midlands Hospital, South 84th Street, Papillion, NE 68046, USA",41.135853,-96.040111
280111,COLUMBUS COMMUNITY HOSPITAL,4600 38TH ST,COLUMBUS,NE,68601,PLATTE,4025647118,59,180,0,98,19,37,Not Available,"Columbus Community Hospital, 4600 38th Street, Columbus, NE 68601, USA",41.4552321,-97.38542389999999
280125,FAITH REGIONAL HEALTH SERVICES,2700 WEST NORFOLK AVE,NORFOLK,NE,68701,MADISON,4023714880,58,184,1,129,25,44,Not Available,"Faith Regional Health Services, 2700 West Norfolk Avenue, Norfolk, NE 68701, USA",42.033062,-97.4510801
280127,LINCOLN SURGICAL HOSPITAL,1710 SOUTH 70TH ST SUITE 200,LINCOLN,NE,68506,LANCASTER,4024849090,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"1710 South 70th Street #200, Lincoln, NE 68506, USA",40.7948831,-96.62371069999999
